id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,2,1,219,0.0,0.0,2,111457,0,0,-3,3,156.3,0,2,0.0,0.0,0,Sead,1.2,18,0,41.2,False,190.0,1086,Thigh injury - Expected back 16 Feb,2020-01-15T13:30:21.603499Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,i,1,3,67.0,34,55138,11,124289,1046,0.2,6.5,Kolasinac,3
153,2,0,87,100.0,100.0,3,20467,0,0,-3,3,191.0,0,3,2.3,2.3,3,Theo,2.3,9,0,68.9,False,93.0,836,,2019-12-07T15:00:20.761324Z,62,0,0,0,20467.jpg,2.0,0,0,Walcott,0.4,False,,a,8,11,404.0,34,19235,442,55013,368,0.4,5.5,Walcott,1
496,1,3,78,,,1,242058,0,0,-6,6,87.8,0,4,2.5,2.5,9,Moise,2.5,12,1,45.5,False,77.8,597,,,64,0,0,0,242058.jpg,1.8,0,0,Kean,1.4,False,,a,8,11,294.0,33,81752,2893,444496,691,0.4,5.2,Kean,0
87,0,1,164,100.0,100.0,4,103914,0,0,-3,3,142.2,0,2,1.3,1.3,5,Charlie,1.8,9,0,31.5,False,164.8,925,,2019-11-30T18:30:12.146951Z,42,0,0,0,103914.jpg,2.8,0,0,Taylor,0.8,False,,a,5,90,7.0,33,74554,1595,117159,1078,0.4,7.9,Taylor,2
453,2,1,73,100.0,100.0,2,171975,0,0,-5,5,72.8,1,3,0.5,-0.5,1,Callum,0.5,6,1,30.4,False,79.8,669,,2019-12-14T17:00:25.229662Z,50,0,0,0,171975.jpg,2.1,0,0,Robinson,0.3,False,,a,15,49,156.0,33,49823,50,94449,177,0.1,6.6,Callum Robinson,1
438,1,3,125,100.0,100.0,1,431131,0,0,-3,3,85.2,1,3,-1.0,0.0,0,Moussa,0.5,9,2,44.6,False,174.6,671,,2019-12-19T15:00:19.986568Z,52,0,0,0,431131.jpg,2.4,0,0,Djenepo,0.1,False,,a,16,20,185.0,33,27214,32,30156,173,0.1,6.3,Djenepo,4
135,1,0,138,0.0,0.0,3,60252,0,0,-4,4,132.6,0,3,0.0,0.0,0,Andros,0.0,12,1,37.1,False,167.6,778,Knock - Unknown return date,2019-12-16T20:00:21.552659Z,56,0,0,0,60252.jpg,2.4,0,0,Townsend,1.0,False,,i,7,31,70.0,33,47711,9,218852,707,0.0,5.9,Townsend,0
284,1,0,104,100.0,100.0,1,89470,0,0,-2,2,136.7,0,3,0.5,0.0,1,Onel,1.0,15,1,54.1,False,148.4,752,,2019-11-01T16:00:22.360282Z,53,0,0,0,89470.jpg,2.0,0,0,Hernández,0.1,False,,a,14,45,258.0,32,5768,82,16157,102,0.2,6.0,Hernández,0
270,2,0,128,100.0,100.0,2,180135,0,0,0,0,185.8,0,3,2.0,1.5,2,Sean,1.5,19,0,42.9,False,163.6,1073,,2019-10-27T16:30:09.941612Z,50,0,0,0,180135.jpg,1.9,1,0,Longstaff,0.3,False,,a,13,4,79.0,32,19924,157,51162,227,0.3,6.4,Longstaff,1
256,1,4,137,0.0,0.0,3,109528,0,0,-2,2,41.6,1,2,0.0,0.0,0,Javier,0.0,12,0,19.2,False,123.4,800,Hamstring injury - Unknown return date,2020-01-02T01:00:17.276147Z,43,0,0,0,109528.jpg,2.9,0,0,Manquillo,0.2,False,,i,13,4,26.0,32,23816,8,25585,569,0.0,7.4,Manquillo,2
