id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
448,1,2,122,,,2,166989,0,0,-1,1,171.2,1,3,2.2,1.2,2,Youri,2.2,7,1,43.9,False,118.0,711,,,64,0,0,0,166989.jpg,3.5,0,0,Tielemans,4.2,False,,a,9,13,149.0,28,173630,5916,271580,10350,0.3,4.4,Tielemans,0
380,1,2,145,100.0,100.0,3,81012,0,0,0,0,125.1,0,2,4.5,4.5,3,Ryan,4.5,11,0,31.4,False,146.8,709,,2019-09-22T15:00:11.366711Z,45,0,0,0,81012.jpg,3.4,0,0,Fredericks,1.1,False,,a,19,21,42.0,27,70038,8792,22081,2611,1.0,6.0,Fredericks,2
141,2,3,147,100.0,100.0,2,101188,0,0,0,0,249.4,1,2,1.0,1.0,2,Lucas,1.0,13,0,51.6,False,148.6,702,,2019-08-17T16:00:09.148104Z,60,0,0,0,101188.jpg,3.4,0,0,Digne,21.9,False,,a,8,11,118.0,27,823627,6681,973970,66583,0.2,4.5,Digne,1
199,0,2,99,,,4,41733,0,0,-1,1,50.9,1,3,4.7,5.2,3,Georginio,4.2,4,1,21.6,False,84.2,678,,,54,0,0,0,41733.jpg,3.4,0,0,Wijnaldum,2.5,False,,a,10,14,81.0,27,96863,7685,117221,5520,0.8,5.0,Wijnaldum,0
455,0,4,134,75.0,,3,108156,0,0,0,0,3.5,1,2,2.6,3.0,6,Bjorn,3.5,11,0,16.8,False,147.8,704,Knock - 75% chance of playing,2019-10-05T16:00:14.611602Z,45,0,0,0,108156.jpg,3.4,0,0,Engels,1.0,False,,d,2,7,15.0,27,82110,491,34431,3381,0.8,6.0,Engels,1
488,2,2,92,100.0,100.0,1,195735,0,0,-2,2,176.4,0,3,5.5,5.0,6,Nicolas,4.5,10,1,53.8,False,131.2,559,,2019-08-09T09:30:12.533555Z,93,0,0,0,195735.jpg,3.4,0,0,Pépé,3.4,False,,a,1,3,229.0,27,157898,11480,283084,8841,0.5,2.9,Pépé,1
14,0,1,154,,,2,80201,0,0,0,0,0.0,0,1,4.2,3.7,6,Bernd,3.2,11,0,20.9,False,209.4,720,,,50,0,0,0,80201.jpg,3.4,0,34,Leno,6.3,False,,a,1,3,0.0,27,259446,16473,230655,6313,0.6,5.4,Leno,2
319,0,3,135,,,2,107265,0,0,0,0,0.0,1,1,3.0,2.5,1,Angus,3.0,15,0,17.3,False,171.6,720,,,45,0,0,0,107265.jpg,3.4,0,24,Gunn,3.5,False,,a,16,20,0.0,27,229098,1833,80072,7611,0.7,6.0,Gunn,0
295,0,1,140,,,3,108416,0,0,0,0,2.8,0,2,3.2,4.2,6,John,4.2,7,0,17.0,False,148.4,720,,,45,0,0,0,108416.jpg,3.4,0,0,Egan,0.2,False,,a,15,49,18.0,27,6463,756,5718,302,0.9,6.0,Egan,0
505,0,1,100,,,0,153682,0,0,1,-1,83.9,0,3,2.8,2.3,2,Harry,2.8,10,3,33.0,False,127.6,464,,,61,0,0,0,153682.jpg,3.9,0,0,Wilson,3.6,False,,a,3,91,117.0,27,329963,8359,178211,10521,0.5,4.4,Harry Wilson,1
