id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
15,0,0,15,100.0,100.0,0,37605,0,0,-3,3,18.8,0,3,0.5,1.0,0,Mesut,0.0,1,0,2.7,False,6.4,70,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,2.0,0,0,Özil,0.6,False,,a,1,3,2.0,2,15381,380,87040,714,0.0,0.3,Özil,0
365,0,0,5,0.0,0.0,0,173514,0,0,-2,2,12.3,0,4,0.0,0.0,0,Isaac,0.0,1,0,3.5,False,5.2,34,Groin Injury - Unknown return date,2019-09-19T17:00:11.798096Z,48,0,0,0,173514.jpg,1.0,0,0,Success Ajayi,0.4,False,,i,18,57,17.0,2,15048,21,46712,522,0.0,0.4,Success,0
478,0,0,9,,,0,194164,0,0,-1,1,0.1,0,2,0.8,0.3,1,Mason,0.3,0,0,0.8,False,7.6,18,,,44,0,0,0,194164.jpg,1.0,0,0,Holgate,0.1,False,,a,8,11,0.0,2,2694,48,6474,68,0.1,0.5,Holgate,0
350,0,0,7,100.0,100.0,0,93264,0,0,-1,1,11.2,0,3,0.2,1.7,0,Eric,0.7,3,0,4.7,False,19.0,102,,2019-08-30T12:30:13.952408Z,49,0,0,0,93264.jpg,1.0,0,0,Dier,0.2,False,,a,17,6,17.0,2,5405,104,11001,206,0.1,0.4,Dier,1
284,0,0,2,100.0,100.0,0,89470,0,0,-2,2,0.9,0,3,-0.7,-0.2,1,Onel,0.3,0,0,2.4,False,1.0,29,,2019-08-16T13:30:14.267813Z,53,0,0,0,89470.jpg,1.0,0,0,Hernández,0.1,False,,a,14,45,24.0,2,551,48,11536,16,0.1,0.4,Hernández,0
472,0,0,7,,,0,167878,0,0,-2,2,10.3,0,3,-0.5,-1.0,0,Ben,0.0,0,0,1.9,False,6.2,13,,,48,0,0,0,167878.jpg,1.0,0,0,Osborn,0.0,False,,a,15,49,2.0,2,328,26,1879,30,0.0,0.4,Osborn,0
282,0,0,5,0.0,0.0,0,37614,0,0,-3,3,11.0,0,3,0.0,0.0,0,Mario,0.0,1,0,3.4,False,2.8,15,Lack of match fitness - Expected back 08 Nov,2019-09-13T13:30:19.455889Z,62,0,0,0,37614.jpg,1.0,0,0,Vrancic,0.1,False,,i,14,45,20.0,2,2060,7,11949,58,0.0,0.3,Vrancic,0
35,0,0,5,100.0,100.0,0,40564,0,0,-1,1,1.1,0,3,-1.3,0.2,0,Henri,0.2,0,0,0.8,False,2.2,9,,2019-09-25T23:00:14.221337Z,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.7,False,,a,2,7,4.0,2,64765,98,40976,900,0.0,0.5,Lansbury,0
249,0,0,4,,,0,222677,0,0,-1,1,0.5,0,3,1.2,-0.3,0,Tahith,0.2,0,0,0.2,False,1.4,24,,,44,0,0,0,222677.jpg,1.0,0,0,Chong,0.6,False,,a,12,1,0.0,2,52719,177,37337,968,0.0,0.5,Chong,0
62,0,0,9,100.0,100.0,0,15149,0,0,-1,1,0.6,0,2,1.2,1.2,0,Simon,0.7,0,0,1.0,False,9.0,12,,2019-06-25T11:30:06.976202Z,44,0,0,0,15149.jpg,1.0,0,0,Francis,0.0,False,,a,3,91,0.0,2,542,29,555,36,0.2,0.5,Francis,0
444,0,0,10,,,0,7645,0,0,-2,2,0.0,0,2,-0.5,-1.0,0,Phil,0.0,0,0,1.8,False,18.4,27,,,43,0,0,0,7645.jpg,1.0,0,0,Jagielka,0.4,False,,a,15,49,0.0,2,5766,90,30210,366,0.0,0.5,Jagielka,0
130,0,0,3,0.0,0.0,0,59125,0,0,0,0,0.8,0,4,0.0,0.0,0,Connor,0.0,0,0,0.2,False,0.0,15,Lack of match fitness - Unknown return date,2019-09-13T12:30:19.022759Z,45,0,0,0,59125.jpg,1.0,0,0,Wickham,3.2,False,,i,7,31,2.0,2,251370,67,387817,4975,0.0,0.4,Wickham,0
352,0,0,6,,,0,209042,0,0,-1,1,0.2,0,3,-0.5,1.0,0,Oliver,0.0,0,0,0.5,False,5.0,2,,,44,0,0,0,209042.jpg,1.0,0,0,Skipp,0.5,False,,a,17,6,0.0,2,17503,394,23646,564,0.0,0.5,Skipp,0
78,0,0,10,,,0,103912,0,0,-3,3,5.4,0,3,0.5,0.5,0,Jordon,0.0,1,0,1.2,False,6.8,48,,,47,0,0,0,103912.jpg,1.0,0,0,Ibe,0.2,False,,a,3,91,0.0,2,4308,79,17660,188,0.0,0.4,Ibe,0
456,0,0,0,,,0,90518,0,0,-3,3,0.6,0,3,-0.5,-1.0,0,Ravel,0.0,0,0,0.2,False,0.0,12,,,47,0,0,0,90518.jpg,1.0,0,0,Morrison,0.1,False,,a,15,49,4.0,1,1579,37,9217,94,0.0,0.2,Morrison,0
473,0,0,22,,,0,178876,0,0,-2,2,7.0,0,2,0.7,0.7,1,Jesús,0.2,6,0,4.3,False,35.6,162,,,48,0,0,0,178876.jpg,0.5,0,0,Vallejo Lázaro,0.3,False,,a,20,39,0.0,1,3564,62,17685,176,0.0,0.2,Vallejo,1
26,0,0,4,100.0,100.0,0,54764,0,0,-1,1,0.0,0,4,-1.5,0.0,0,Jonathan,0.0,2,0,0.2,False,0.0,16,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,1,2277,91,24190,85,0.0,0.2,Kodjia,0
452,0,0,4,100.0,100.0,0,199798,-1,1,-2,2,0.3,0,2,-1.3,0.2,0,Ezri,0.2,1,0,0.7,False,6.2,15,,2019-08-05T15:00:10.970602Z,43,0,0,0,199798.jpg,1.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,0.0,1,693,16,2733,57,0.0,0.2,Konsa,0
514,0,0,1,,,0,181008,0,0,-2,2,0.0,0,4,0.7,0.2,1,Albian,0.2,1,0,0.0,False,0.0,16,,,58,0,0,0,181008.jpg,1.0,0,0,Ajeti,0.0,False,,a,19,21,0.0,1,1401,38,3843,35,0.0,0.2,Ajeti,0
308,0,0,10,,,0,88900,0,0,-2,2,0.1,0,2,-0.5,-0.5,0,Jack,0.0,2,0,1.3,False,10.6,72,,,43,0,0,0,88900.jpg,1.0,0,0,Stephens,0.1,False,,a,16,20,2.0,1,1145,35,4678,66,0.0,0.2,Stephens,0
547,0,0,-1,,,0,18440,0,0,0,0,0.3,0,4,-0.2,-0.7,0,Leon,0.3,0,0,0.3,False,0.0,13,,,45,0,0,0,18440.jpg,1.0,0,0,Clarke,0.1,False,,a,15,49,4.0,1,5009,477,1467,266,0.1,0.2,Clarke,0
